t,x,y,z
0.050, -10194.551, -2424.239, 728.569
0.050, -10198.467, -2426.187, 725.916
0.050, -10202.932, -2428.911, 722.151
0.050, -10207.924, -2432.368, 717.337
0.050, -10213.459, -2436.510, 711.584
0.050, -10219.573, -2441.301, 705.071
0.050, -10226.299, -2446.740, 698.065
0.050, -10233.665, -2452.879, 690.910
0.050, -10241.633, -2459.786, 684.057
0.050, -10250.153, -2467.580, 677.969
0.050, -10259.121, -2476.373, 673.124
0.050, -10268.397, -2486.231, 669.940
0.050, -10277.785, -2497.099, 668.761
0.050, -10286.977, -2508.648, 669.891
0.050, -10295.603, -2520.234, 673.125
0.050, -10303.314, -2530.995, 677.578
0.050, -10309.879, -2540.239, 682.673
0.050, -10315.305, -2547.664, 688.201
0.050, -10319.675, -2553.062, 693.975
0.050, -10323.101, -2556.275, 699.815
0.059, -10326.013, -2557.013, 706.514
0.061, -10327.651, -2554.912, 712.053
0.064, -10328.652, -2550.770, 717.371
0.066, -10328.830, -2540.290, 725.004
0.053, -10327.998, -2529.793, 730.667
0.050, -10326.496, -2518.795, 736.058
0.053, -10324.518, -2507.446, 742.094
0.050, -10322.445, -2497.241, 748.582
0.057, -10320.300, -2487.892, 756.222
0.050, -10318.462, -2480.148, 764.803
0.051, -10317.234, -2474.441, 773.524
0.050, -10316.458, -2469.988, 783.192
0.057, -10316.058, -2466.627, 793.633
0.050, -10315.865, -2463.852, 805.562
0.050, -10315.682, -2461.653, 816.683
0.054, -10315.254, -2459.151, 829.027
0.050, -10314.484, -2456.384, 840.639
0.050, -10313.237, -2452.945, 852.275
0.051, -10311.409, -2448.596, 864.098
0.050, -10309.098, -2443.522, 875.485
0.050, -10306.323, -2437.693, 886.682
0.050, -10303.201, -2431.284, 897.626
0.050, -10299.895, -2424.551, 908.232
0.050, -10296.597, -2417.811, 918.390
0.050, -10293.506, -2411.394, 927.960
0.050, -10290.794, -2405.595, 936.786
0.050, -10288.592, -2400.640, 944.711
0.050, -10286.971, -2396.658, 951.593
0.053, -10285.902, -2393.526, 957.602
0.056, -10285.418, -2391.301, 962.428
0.050, -10285.417, -2390.008, 965.483
0.050, -10285.704, -2389.191, 967.258
0.050, -10286.160, -2388.627, 967.801
0.050, -10286.684, -2388.145, 967.106
0.050, -10287.205, -2387.655, 964.940
0.051, -10287.682, -2387.119, 961.056
0.050, -10288.099, -2386.506, 955.206
0.058, -10288.342, -2386.044, 950.249
0.056, -10288.866, -2384.700, 936.164
0.050, -10289.351, -2383.309, 924.446
0.051, -10290.021, -2381.346, 911.389
0.050, -10290.891, -2378.729, 897.400
0.050, -10291.852, -2375.681, 883.953
0.056, -10292.913, -2371.991, 870.471
0.050, -10293.723, -2368.756, 860.646
0.050, -10294.288, -2365.924, 853.690
0.050, -10294.535, -2363.724, 849.814
0.054, -10294.357, -2362.248, 849.056
0.051, -10293.628, -2361.601, 850.878
0.050, -10292.272, -2361.575, 853.873
0.050, -10290.403, -2362.153, 857.165
0.050, -10288.186, -2363.191, 860.148
0.050, -10285.802, -2364.455, 862.455
0.050, -10283.423, -2365.676, 863.897
0.050, -10281.193, -2366.603, 864.402
0.050, -10279.219, -2367.043, 863.956
0.050, -10277.569, -2366.903, 862.397
0.050, -10276.279, -2366.157, 859.517
0.050, -10275.357, -2364.812, 855.180
