time,z_normalized
0.05,-0.48472504158399543
0.05,-0.4968817731507149
0.05,-0.514133976071447
0.05,-0.5361929680662414
0.05,-0.5625547007097922
0.05,-0.592398949746372
0.05,-0.6245022521800093
0.05,-0.6572883111170174
0.05,-0.6886905280136368
0.05,-0.7165873172251676
0.05,-0.7387883592307305
0.05,-0.753378270014159
0.05,-0.758780752681767
0.05,-0.7536028006763417
0.05,-0.7387837769723187
0.05,-0.7183789802642133
0.05,-0.69503237365568
0.05,-0.6697016491548025
0.05,-0.6432436890846023
0.05,-0.6164832999592178
0.059,-0.585786750858028
0.061,-0.5604056215146198
0.064,-0.5360371712802374
0.066,-0.5010607928223505
0.053,-0.47511146343586896
0.05,-0.4504085083374193
0.053,-0.42274999656330614
0.05,-0.39302030398702326
0.057,-0.35801184972025335
0.05,-0.31869149028790345
0.051,-0.27872961467789026
0.05,-0.23442834035182591
0.057,-0.18658498027337755
0.05,-0.13192321967805065
0.05,-0.08096392387952345
0.054,-0.02440052604326559
0.05,0.028808658635494977
0.05,0.08212781751614084
0.051,0.1363038587198082
0.05,0.18848203525589624
0.05,0.2397895826937264
0.05,0.28993781875335056
0.05,0.3385372514697591
0.05,0.3850838324176451
0.05,0.4289360454193454
0.05,0.4693790581626056
0.05,0.5056934560767619
0.05,0.537228558467326
0.053,0.564763349264318
0.056,0.5868773283600555
0.05,0.6008761278083512
0.05,0.6090096364894402
0.05,0.6114978028070917
0.05,0.608313133210834
0.05,0.5983879614907004
0.051,0.580590469818955
0.05,0.5537842581094516
0.058,0.5310700031617583
0.056,0.4665288934304159
0.05,0.41283398935999593
0.051,0.3530034412760672
0.05,0.28890222835226553
0.05,0.2272845994877033
0.056,0.16550659157872527
0.05,0.12048590268199555
0.05,0.08861171316895256
0.05,0.07085087956450176
0.054,0.06737752768829641
0.051,0.0757264025147435
0.05,0.08945026645832677
0.05,0.10453506115023825
0.05,0.1182039379928792
0.05,0.1287752081490885
0.05,0.13538282477902075
0.05,0.13769686527702052
0.05,0.1356531780253214
0.05,0.12850943716119945
0.05,0.11531253293498245
0.05,0.09543927820265452
0.05,0.06856433261697381
0.05,0.03469227843634992
0.05,-0.005700329464380149
0.05,-0.051522913583188945
0.05,-0.10104796249879755
0.05,-0.15204391636461934
0.05,-0.20203635563824018
0.05,-0.2486516704623044
0.05,-0.28995614778699863
0.05,-0.32466217299858424
0.05,-0.352247368638107
0.05,-0.3728492024579234
0.05,-0.38722374709599394
0.05,-0.39653031393052385
0.05,-0.4021389982266662
0.05,-0.4051312129696245
0.05,-0.40628594208941826
0.05,-0.40628135983100655
0.05,-0.4058277162482301
0.05,-0.4056581726869909
0.05,-0.40645548565065803
0.05,-0.40878327292389316
0.05,-0.4129852038875881
0.05,-0.4191208479010968
0.05,-0.42689694042605864
0.05,-0.43571778786892923
0.05,-0.44475400145715815
0.05,-0.4530845472499575
0.05,-0.459852542924306
0.05,-0.4643339916511253
0.05,-0.46628603373458677
0.05,-0.46645099503741416
0.05,-0.46531917720967986
0.05,-0.46310136413832925
0.05,-0.4598433784074819
0.05,-0.4554856506577831
0.05,-0.44988154862005303
0.05,-0.4429898319685841
0.05,-0.43484257651225977
0.05,-0.42553142741931815
0.05,-0.4151571943748198
0.05,-0.40377486447970756
0.05,-0.39118281836385915
0.05,-0.37724358827491744
0.05,-0.3619159338871758
0.05,-0.3452731713352246
0.05,-0.32749859095553857
0.05,-0.30883505244394793
0.05,-0.28955749130516506
0.05,-0.2699133494934316
0.05,-0.2500538415363396
0.05,-0.23012101744465818
0.05,-0.2101194594767981
0.05,-0.19004000311593583
0.05,-0.169836825777953
0.05,-0.14949159842920223
0.05,-0.12900890332809456
0.05,-0.10842081628351352
0.05,-0.08783272923893304
0.05,-0.0673866922051205
0.05,-0.04725683100172773
0.05,-0.02763101822364189
0.05,-0.008752113566692588
0.05,0.00914618779011378
0.05,0.02586226647665546
0.05,0.04125865474057533
0.05,0.05525745418887107
0.05,0.06800529709072389
0.05,0.07975878991719854
0.05,0.09065540042065101
0.05,0.10076386247726021
0.05,0.11012083415432117
0.05,0.11870798641818614
0.05,0.12647949668473557
0.05,0.1333712133362046
0.05,0.1393052379795907
0.05,0.1441899254466552
0.05,0.14792904831075027
0.05,0.15043554366204925
0.05,0.1516177663323146
0.05,0.15138865341172036
0.05,0.1496382306983821
0.05,0.14581662718287314
0.05,0.13909445409264398
0.05,0.12879353718273556
0.05,0.11444190383672481
0.05,0.09581502339242887
0.05,0.07296330069237889
0.05,0.046234987375878056
0.05,0.016257852845353193
0.05,-0.01606539799205453
0.05,-0.049635023117493904
0.05,-0.08323672405181626
0.05,-0.11561037973175492
0.05,-0.1455920965206916
0.05,-0.17221501789371918
0.05,-0.1947001599208189
0.05,-0.2122502096383223
0.05,-0.22394413310544237
0.05,-0.22893879477439272
0.05,-0.22666141234368808
0.05,-0.21770767940687252
0.05,-0.20592669302992672
0.05,-0.1938982646987394
0.05,-0.18268547836486693
0.05,-0.17283362277932313
0.05,-0.16432436890846047
0.05,-0.15642455540637756
0.05,-0.14834603382623202
0.05,-0.1394839460576539
0.05,-0.1295037872365774
0.05,-0.11836889929570715
0.05,-0.10630839515563639
0.05,-0.0936567796804334
0.05,-0.08046903997104005
0.05,-0.06673601151063324
0.05,-0.05255392172586182
0.05,-0.03807856740273008
0.05,-0.023534479203420333
0.05,-0.009173681340585604
0.05,0.004733472939472794
