Wall time,Step,Value
1716636899.2760332,652,8626.5126953125
1716636905.4128878,1240,84497.6484375
1716636910.3256083,1828,69032.046875
1716636915.2804859,2416,110819.8359375
1716636920.4251738,3004,134326.875
1716636925.7569199,3592,148646.6875
1716636930.7647505,4181,166300.21875
1716636935.8284562,4769,165236.109375
1716636939.1780405,5000,210086.515625
1716636942.9369042,5442,251717.890625
1716636949.229694,6031,283169.84375
1716636955.0157404,6620,310719.28125
1716636960.1518533,7208,390555.5625
1716636966.0202599,7797,353493.28125
1716636971.719963,8385,374991.53125
1716636977.3073013,8973,487938.28125
1716636982.8067439,9561,469764.90625
1716636987.8052382,10000,518345.75
1716636990.6033134,10295,537491.9375
1716636996.07759,10883,628323.8125
1716637001.5683992,11472,715177.1875
1716637007.3441947,12060,700254.1875
1716637012.7842774,12648,727382.875
1716637018.2841313,13238,806351.375
1716637023.7854524,13826,833425.75
1716637029.919675,14415,928211.625
1716637036.7127564,15000,993301.3125
1716637043.6509948,15735,1108657.625
1716637049.3628714,16323,997325.3125
1716637055.564275,16911,1146173.875
1716637062.214185,17499,1101100.125
1716637067.8889825,18087,1091796.5
1716637073.1138813,18675,1503317.875
1716637078.4575198,19263,1257943.0
1716637083.521902,19854,1330588.5
1716637085.6373456,20000,1328063.75
1716637091.0666332,20588,1269561.5
1716637096.2799547,21176,1557879.0
1716637101.480373,21765,1505224.875
1716637106.7218876,22354,1391624.75
1716637111.9433541,22944,1623015.875
1716637117.2861848,23533,1624103.125
1716637122.147902,24123,1854763.75
1716637127.0120437,24712,1763436.0
1716637130.230895,25000,1927502.5
1716637134.5047846,25443,1534814.125
1716637139.8793035,26032,2053470.5
1716637144.8657784,26620,1747102.125
1716637149.8148243,27208,1735952.125
1716637154.7547433,27798,2091732.0
1716637159.6322777,28387,1648807.25
1716637164.5601277,28975,2189842.75
1716637169.5222974,29564,1806939.375
1716637173.8570719,30000,1808680.5
1716637176.3820255,30295,2134939.5
1716637181.3951893,30883,1971770.375
1716637186.2661812,31471,2079172.375
1716637191.3992598,32059,2111312.5
1716637197.1148477,32648,2177002.75
1716637202.2700422,33237,2325575.25
1716637207.2961628,33826,2279965.5
1716637212.3205948,34415,2268686.75
1716637218.0077095,35000,2442022.0
1716637224.3713846,35737,2189564.5
1716637229.2466567,36325,2497397.5
1716637234.3299983,36913,1820559.875
1716637239.1845787,37502,2442857.5
1716637244.8105586,38091,2285954.25
1716637250.5964093,38679,2452879.5
1716637256.0045464,39267,2148833.0
1716637261.6690214,39855,1752881.625
1716637263.7429154,40000,2620632.5
1716637269.222042,40589,1969163.75
1716637274.2802994,41178,2382206.0
1716637279.0789812,41766,2071028.875
1716637283.888424,42354,2516694.5
1716637288.7973325,42942,2481872.0
1716637293.7753413,43530,2585094.5
1716637298.8577166,44119,2361789.0
1716637303.8143673,44708,2659585.5
1716637306.9947233,45000,2357203.75
1716637310.7321002,45441,2365517.5
1716637315.5751128,46029,2236797.5
1716637320.3853352,46617,2480016.25
1716637325.193128,47205,2670469.0
1716637329.9775388,47794,1901787.375
1716637334.944594,48383,2123608.0
1716637339.7989101,48971,2451928.5
1716637344.5607636,49561,2370638.75
1716637348.9162507,50000,2798686.25
1716637351.3558514,50294,2542826.25
1716637356.3301325,50882,2484937.0
1716637361.2459757,51470,2801219.0
1716637366.1974318,52060,2481946.25
1716637371.0004284,52649,2252739.25
1716637375.8086345,53239,2887740.0
1716637380.5897923,53827,2732835.0
1716637385.3936117,54416,2297429.5
1716637390.9602997,55000,2220860.0
1716637397.0889764,55735,2132114.5
1716637401.887551,56324,3178887.5
1716637406.7348511,56913,2679461.75
1716637411.604458,57501,2350764.25
1716637416.7295501,58089,2589035.5
1716637421.6628277,58677,2743603.25
1716637426.5119958,59265,2805960.5
1716637431.3618803,59855,2413633.0
1716637433.3169956,60000,2256101.75
1716637438.3105283,60590,2312931.5
1716637443.116395,61178,2567965.5
1716637447.9654067,61766,2464896.5
1716637452.8012795,62355,2788352.25
1716637457.5839279,62943,2848740.75
1716637462.3421552,63531,2795281.25
1716637467.21391,64119,2477992.0
1716637472.9225807,64708,2525267.75
1716637476.5439746,65000,2429756.25
1716637480.501152,65441,2513726.75
1716637485.430945,66030,2067425.75
1716637490.341058,66619,2532034.0
1716637495.2154374,67207,2576820.75
1716637500.1428125,67796,2515660.25
1716637505.0037582,68385,2910880.5
1716637509.810213,68973,2599211.75
1716637514.6199849,69561,2614159.25
1716637518.9242806,70000,2224268.0
1716637521.3998196,70295,2681101.5
1716637526.3240385,70883,2860231.5
1716637531.083047,71471,2869909.25
1716637535.9775336,72059,2521666.0
1716637540.8116672,72647,2416726.0
1716637545.6235018,73236,2505203.0
1716637550.4677181,73825,2450730.5
1716637555.3772552,74413,2496659.0
1716637561.0498908,75000,2301161.25
1716637567.42797,75737,2644352.75
