Wall time,Step,Value
1716636899.2760332,652,-23438.80859375
1716636905.4128878,1240,-35937.48828125
1716636910.3256083,1828,-37175.8203125
1716636915.2804859,2416,-44602.91015625
1716636920.4241815,3004,-44887.5859375
1716636925.7569199,3592,-42300.34765625
1716636930.7647505,4181,-40233.03515625
1716636935.8284562,4769,-39556.8359375
1716636942.9369042,5442,-41850.66015625
1716636949.229694,6031,-41230.11328125
1716636955.0157404,6620,-38231.1171875
1716636960.1518533,7208,-38539.5390625
1716636966.0202599,7797,-38840.8359375
1716636971.719963,8385,-41008.21875
1716636977.3073013,8973,-39618.92578125
1716636982.8067439,9561,-41483.12890625
1716636990.6033134,10295,-39929.10546875
1716636996.07759,10883,-40320.4609375
1716637001.5683992,11472,-39918.70703125
1716637007.3441947,12060,-41758.296875
1716637012.7842774,12648,-41849.02734375
1716637018.2841313,13238,-42966.33984375
1716637023.7854524,13826,-43951.1875
1716637029.919675,14415,-44109.2890625
1716637036.919346,15147,-45203.92578125
1716637043.6509948,15735,-47244.3828125
1716637049.3628714,16323,-47250.45703125
1716637055.564275,16911,-48453.8359375
1716637062.214185,17499,-47089.14453125
1716637067.8889825,18087,-48886.34375
1716637073.1138813,18675,-49005.01171875
1716637078.4575198,19263,-49162.65625
1716637083.521902,19854,-50255.609375
1716637091.0656338,20588,-48188.26953125
1716637096.2799547,21176,-49245.97265625
1716637101.480373,21765,-50212.86328125
1716637106.7218876,22354,-50495.9140625
1716637111.9433541,22944,-50619.73046875
1716637117.2861848,23533,-49996.3671875
1716637122.147902,24123,-52563.6640625
1716637127.0120437,24712,-53211.62109375
1716637134.5047846,25443,-56777.08984375
1716637139.8793035,26032,-55307.34375
1716637144.8657784,26620,-55713.2265625
1716637149.8138092,27208,-53499.07421875
1716637154.7547433,27798,-53793.51953125
1716637159.6322777,28387,-52543.2890625
1716637164.5601277,28975,-51719.05859375
1716637169.5222974,29564,-51653.3046875
1716637176.3820255,30295,-49265.12890625
1716637181.3951893,30883,-48582.0625
1716637186.2661812,31471,-48557.1796875
1716637191.3992598,32059,-47082.703125
1716637197.1148477,32648,-47865.1953125
1716637202.2700422,33237,-47190.8046875
1716637207.2961628,33826,-47524.34375
1716637212.3205948,34415,-49126.44921875
1716637218.1713314,35147,-49063.09375
1716637224.3703845,35737,-49428.3046875
1716637229.2466567,36325,-48710.2734375
1716637234.3299983,36913,-49226.11328125
1716637239.1845787,37502,-48472.85546875
1716637244.8105586,38091,-50234.07421875
1716637250.5964093,38679,-48759.2890625
1716637256.0035477,39267,-47962.3828125
1716637261.6690214,39855,-46414.4609375
1716637269.222042,40589,-44944.58984375
1716637274.2802994,41178,-46917.69140625
1716637279.0789812,41766,-48677.421875
1716637283.888424,42354,-48920.00390625
1716637288.7973325,42942,-49714.09375
1716637293.7753413,43530,-49715.65234375
1716637298.8577166,44119,-50101.18359375
1716637303.8143673,44708,-49809.07421875
1716637310.7321002,45441,-50499.3984375
1716637315.5751128,46029,-50548.37109375
1716637320.384359,46617,-50659.171875
1716637325.1921277,47205,-51226.125
1716637329.9775388,47794,-50362.72265625
1716637334.944594,48383,-49458.29296875
1716637339.7989101,48971,-50211.2578125
1716637344.5607636,49561,-47978.890625
1716637351.3558514,50294,-46089.78515625
1716637356.3301325,50882,-46115.890625
1716637361.2459757,51470,-45365.859375
1716637366.1974318,52060,-46891.94921875
1716637371.0004284,52649,-47059.37890625
1716637375.8086345,53239,-46725.74609375
1716637380.5897923,53827,-46473.08203125
1716637385.3936117,54416,-46923.09765625
1716637391.1145718,55147,-48085.7734375
1716637397.0889764,55735,-46531.93359375
1716637401.887551,56324,-45014.21484375
1716637406.7348511,56913,-44835.2890625
1716637411.604458,57501,-44794.43359375
1716637416.7295501,58089,-44734.13671875
1716637421.6628277,58677,-45765.0234375
1716637426.5119958,59265,-47232.62890625
1716637431.3618803,59855,-47769.7421875
1716637438.3095226,60590,-47809.1171875
1716637443.116395,61178,-47075.9140625
1716637447.9654067,61766,-47047.83984375
1716637452.8012795,62355,-46697.4609375
1716637457.5839279,62943,-47074.3046875
1716637462.3421552,63531,-45671.890625
1716637467.21391,64119,-43874.109375
1716637472.9225807,64708,-45903.30859375
1716637480.501152,65441,-46349.19921875
1716637485.430945,66030,-48800.359375
1716637490.341058,66619,-49723.53515625
1716637495.2154374,67207,-49211.80078125
1716637500.1428125,67796,-51531.03515625
1716637505.0037582,68385,-49432.87109375
1716637509.8092036,68973,-50428.5390625
1716637514.6199849,69561,-48795.21484375
1716637521.3998196,70295,-46666.1875
1716637526.3240385,70883,-46553.015625
1716637531.083047,71471,-46851.91015625
1716637535.9775336,72059,-47124.87109375
1716637540.8116672,72647,-47780.9609375
1716637545.6235018,73236,-48100.0390625
1716637550.4677181,73825,-47809.546875
1716637555.3772552,74413,-47557.54296875
1716637561.2013705,75148,-47150.875
1716637567.42797,75737,-47876.234375
1716637572.2463994,76325,-48738.08203125
1716637577.0040796,76914,-48612.38671875
1716637581.8302126,77502,-49646.3515625
1716637586.6596508,78091,-51247.05859375
1716637591.691809,78679,-52554.18359375
1716637597.3020332,79270,-53489.95703125
1716637602.857096,79858,-51201.9921875
1716637611.0838203,80588,-51597.609375
1716637615.9530919,81178,-51176.7421875
1716637620.8411434,81767,-49546.01953125
1716637625.8887918,82355,-49952.26953125
1716637631.0860941,82943,-47752.44921875
1716637636.8380089,83531,-48405.609375
1716637643.3342886,84120,-48636.81640625
1716637649.290499,84709,-49793.07421875
1716637656.5424078,85441,-50139.078125
1716637661.66734,86029,-51425.8046875
1716637666.7463439,86618,-53437.87890625
1716637672.2220273,87206,-51374.41796875
1716637677.161633,87794,-53064.83203125
1716637682.1087584,88385,-52034.89453125
1716637687.0379822,88974,-52730.80859375
1716637691.9487169,89562,-51087.62109375
1716637698.8633158,90295,-50656.21875
1716637703.8028817,90884,-50863.01171875
1716637708.5851748,91473,-50605.484375
1716637713.6243095,92062,-50019.8984375
1716637719.0849698,92652,-49888.765625
1716637724.7663836,93240,-48358.87890625
1716637730.1217163,93828,-47711.62890625
1716637735.647941,94416,-47793.07421875
1716637741.6077294,95147,-48186.671875
1716637747.9850986,95735,-49424.40234375
1716637754.084436,96325,-47599.37890625
1716637760.1137981,96913,-49112.0078125
1716637767.2358992,97501,-47770.58203125
1716637774.3116698,98090,-47517.703125
1716637781.0279813,98678,-48379.109375
1716637787.2500145,99266,-48033.22265625
1716637793.8306103,99855,-46667.96484375
1716637804.4373138,100588,-46596.33984375
1716637810.0885444,101176,-46039.9609375
1716637815.4814687,101765,-46121.16015625
1716637821.304317,102353,-48370.80078125
1716637827.2165055,102942,-47696.5078125
1716637834.30644,103531,-47825.08984375
1716637840.506534,104119,-47561.50390625
1716637847.8130455,104707,-46887.4765625
1716637856.6619349,105441,-47080.82421875
1716637862.2151668,106029,-48124.33984375
1716637869.1078327,106618,-47724.8671875
1716637875.8449764,107209,-49450.640625
1716637881.5034082,107798,-49682.4921875
1716637886.9036915,108386,-50315.94140625
1716637892.5775054,108974,-50885.5546875
1716637898.9281797,109563,-50631.53125
1716637906.8435836,110294,-52608.26171875
1716637912.3383558,110883,-51064.9140625
1716637917.7493036,111472,-51787.87890625
1716637923.8672926,112061,-52578.390625
1716637930.9357343,112649,-52622.2109375
1716637937.1052558,113238,-53460.05859375
1716637942.868166,113827,-52334.71875
1716637947.9617476,114415,-54641.07421875
1716637954.7676628,115147,-55678.8828125
1716637961.5341902,115736,-55619.640625
1716637967.4390185,116324,-56120.51953125
1716637973.3376548,116912,-56623.79296875
1716637979.90056,117501,-54616.8671875
1716637986.2476876,118089,-53746.1484375
1716637993.6923227,118678,-53957.63671875
1716637999.7501583,119266,-53958.01171875
1716638006.7590272,119854,-53716.18359375
1716638015.1234357,120590,-55788.44921875
1716638020.8725479,121179,-54735.8828125
1716638026.6363976,121769,-57310.48046875
1716638032.7779794,122357,-55410.6953125
1716638038.4539058,122945,-55335.6953125
1716638044.570364,123533,-54251.3515625
1716638049.8033104,124121,-54759.3046875
1716638054.8826866,124709,-53765.44140625
1716638062.1546278,125441,-54605.9140625
1716638067.55923,126030,-56560.86328125
1716638072.8535874,126619,-56766.62890625
1716638078.3221009,127209,-55662.26171875
1716638083.7359004,127798,-58140.87109375
1716638088.726617,128386,-58342.08203125
1716638093.973522,128976,-59347.62109375
1716638099.1690686,129564,-56838.08984375
1716638108.1487854,130294,-56627.6484375
1716638115.8838556,130884,-57606.0390625
1716638123.135376,131472,-59760.390625
1716638129.3486507,132061,-56567.953125
1716638137.6072965,132649,-58428.984375
1716638145.2486935,133237,-58184.703125
1716638150.9756494,133825,-56838.06640625
1716638157.3086581,134414,-55945.2421875
1716638165.1406493,135147,-55833.62109375
1716638174.1648517,135735,-54583.99609375
1716638181.0075336,136324,-54750.3671875
1716638186.756278,136913,-51799.15234375
1716638193.8644958,137501,-53302.28515625
1716638199.2775738,138090,-54899.38671875
1716638204.515629,138678,-55878.4140625
1716638209.8657582,139266,-56931.8203125
1716638214.9974065,139856,-58881.80859375
1716638222.4577706,140588,-57129.14453125
1716638227.5810575,141176,-56428.12109375
1716638232.6805751,141764,-56833.15234375
1716638237.7611604,142352,-56980.65625
1716638242.841116,142941,-54532.76953125
1716638247.9103696,143531,-56044.234375
1716638252.956404,144122,-54543.4921875
1716638258.0590525,144711,-55646.125
1716638265.3709004,145441,-54890.71875
1716638270.4037998,146029,-55372.71875
1716638275.5220568,146619,-51671.7578125
1716638280.6354759,147208,-51850.15234375
1716638285.9247932,147796,-50909.17578125
1716638291.0434513,148387,-52081.98046875
1716638296.2130396,148977,-52602.359375
1716638301.2846162,149565,-52028.4609375
1716638308.5231428,150294,-52240.03515625
1716638313.714253,150882,-51818.96875
1716638318.8949647,151470,-53103.52734375
1716638324.3086855,152058,-54460.69921875
1716638329.4132743,152648,-54645.0
1716638334.4847093,153238,-53106.31640625
1716638339.5445695,153827,-52835.484375
1716638344.672166,154416,-52327.3671875
1716638350.7671995,155148,-50653.609375
1716638357.0986216,155738,-52003.69140625
1716638362.2837234,156326,-51388.3671875
1716638367.4896054,156914,-50529.359375
1716638372.5819566,157504,-50269.8046875
1716638377.671306,158092,-50640.68359375
1716638382.7741842,158680,-48132.64453125
1716638387.9239378,159268,-47992.71875
1716638392.9654121,159857,-46695.01953125
1716638400.9740512,160588,-47407.2890625
1716638407.6973271,161176,-46811.16796875
1716638413.5714262,161765,-50240.96484375
1716638419.7397695,162353,-50133.68359375
1716638424.8101156,162941,-48889.3359375
1716638431.0405304,163530,-47851.03125
1716638436.321088,164119,-48545.15625
1716638441.9164417,164707,-48308.7421875
1716638449.3107235,165441,-49671.91796875
1716638454.4612541,166030,-49266.6015625
1716638460.3336623,166618,-46486.6171875
1716638466.1725738,167206,-44265.390625
1716638471.2234397,167794,-44834.7734375
1716638476.2621832,168382,-44345.5625
1716638481.4334996,168970,-45542.8828125
1716638486.5825844,169559,-44975.97265625
1716638492.6062474,170147,-47033.18359375
1716638498.4804225,170735,-45717.06640625
1716638504.8168926,171324,-45774.08984375
1716638510.4300766,171913,-46825.78515625
1716638516.490188,172503,-47918.75390625
1716638521.8249316,173094,-47215.55859375
1716638527.0570889,173682,-46968.90625
1716638532.151142,174271,-46751.65234375
1716638537.8411272,174861,-49426.49609375
1716638546.3988636,175588,-49014.00390625
1716638552.3250144,176178,-48862.4140625
1716638558.371393,176766,-46782.51171875
1716638563.556607,177355,-48764.7421875
1716638568.6242497,177943,-48699.296875
1716638573.6915686,178531,-47933.359375
1716638578.7365506,179119,-46211.15234375
1716638583.8929496,179707,-47861.41796875
1716638591.2183654,180441,-46124.56640625
1716638597.9907827,181029,-46781.81640625
1716638604.6684575,181618,-49435.81640625
1716638609.955829,182206,-50664.625
1716638616.047222,182795,-47861.69921875
1716638621.2868605,183384,-49242.1953125
1716638626.655013,183975,-48971.3515625
1716638632.0827208,184563,-47219.72265625
1716638641.2199042,185294,-46524.8125
1716638647.5176744,185882,-46059.09765625
1716638653.4154227,186472,-46384.78125
1716638658.9177618,187060,-44495.07421875
1716638664.5862467,187649,-43787.00390625
1716638670.398719,188237,-44750.8046875
1716638676.137382,188825,-44909.67578125
1716638681.8458326,189413,-46023.8828125
1716638688.6744528,190148,-46482.25390625
1716638695.902262,190736,-48303.90625
1716638701.850444,191325,-47386.90234375
1716638707.5431848,191913,-46450.1484375
1716638712.8553367,192501,-47614.3203125
1716638717.7496374,193089,-49911.8125
1716638723.113152,193678,-50951.625
1716638728.7655983,194266,-52254.859375
1716638734.3513231,194854,-51145.18359375
1716638742.1841671,195588,-53583.46484375
1716638747.6953168,196176,-53490.703125
1716638752.6048698,196765,-51672.5859375
1716638757.5651245,197354,-51038.08203125
1716638762.8681815,197943,-52441.26953125
1716638768.9218156,198531,-50346.24609375
1716638774.1570961,199121,-48807.94921875
