Wall time,Step,Value
1716511354.0654793,10000,448.0
1716511370.9358582,20000,610.7999877929688
1716511388.9060848,30000,1001.0
1716511407.057021,40000,1001.0
1716511424.7164776,50000,857.4000244140625
1716511443.2544243,60000,1001.0
1716511459.9534023,70000,512.0
1716511478.2425609,80000,1001.0
1716511497.0061517,90000,1001.0
1716511516.6588507,100000,1001.0
1716511536.0925574,110000,1001.0
1716511555.301385,120000,1001.0
1716511574.4753213,130000,1001.0
1716511593.9998014,140000,1001.0
1716511613.6953375,150000,1001.0
1716511633.0365906,160000,1001.0
1716511652.4323413,170000,1001.0
1716511671.7965424,180000,1001.0
1716511691.26321,190000,1001.0
1716511710.4069207,200000,1001.0
