Wall time,Step,Value
1715594459.2163415,2048,-292762.65625
1715594465.0998075,4096,-169553.9375
1715594470.7879395,6144,-126924.328125
1715594476.6808023,8192,-123052.53125
1715594493.9799314,10240,-239269.71875
1715594499.8402822,12288,-211063.546875
1715594505.513964,14336,-188124.96875
1715594511.2508376,16384,-171680.296875
1715594517.0646966,18432,-154280.421875
1715594534.0659297,20480,-150488.515625
1715594539.7548234,22528,-141221.796875
1715594545.5991702,24576,-131925.671875
1715594551.1784663,26624,-121690.734375
1715594556.8502707,28672,-113935.453125
1715594574.3524141,30720,-106776.046875
1715594580.0402014,32768,-164182.265625
1715594585.7460256,34816,-245125.046875
1715594591.3734534,36864,-358089.46875
1715594597.0307686,38912,-419682.875
1715594614.3616443,40960,-454641.84375
1715594620.0029588,43008,-533995.375
1715594625.7383585,45056,-600460.5625
1715594631.4303648,47104,-667580.9375
1715594637.0878623,49152,-726924.1875
1715594654.2683232,51200,-735581.125
1715594660.0516994,53248,-752219.125
1715594666.2722752,55296,-787936.875
1715594672.2276416,57344,-811124.4375
1715594678.0879197,59392,-842785.9375
1715594695.4543624,61440,-899714.3125
1715594701.3782115,63488,-903228.9375
1715594707.0323205,65536,-920266.875
1715594712.7278588,67584,-949102.5
1715594718.370824,69632,-948320.8125
1715594735.5945818,71680,-998689.9375
1715594741.5788078,73728,-1025093.0
1715594747.4881608,75776,-1061068.25
1715594753.6326466,77824,-1089056.375
1715594759.3374908,79872,-1100571.0
1715594776.6901796,81920,-1102376.25
1715594782.364444,83968,-1109020.875
1715594788.099762,86016,-1096497.875
1715594793.7745538,88064,-1063153.0
1715594811.6084692,90112,-1067761.375
1715594817.437305,92160,-1052344.625
1715594823.1126025,94208,-1037367.0625
1715594828.8645964,96256,-1026812.125
1715594834.5390608,98304,-1016562.5
1715594851.7976365,100352,-999196.0625
1715594857.4862375,102400,-982851.75
1715594863.4727824,104448,-964942.125
1715594869.3971593,106496,-951348.75
1715594875.2575886,108544,-936345.3125
1715594892.5627427,110592,-922825.75
1715594898.423573,112640,-907827.625
1715594904.1270924,114688,-892263.9375
1715594909.8319385,116736,-877466.1875
1715594915.4739573,118784,-865444.0
1715594932.6817884,120832,-854209.875
1715594938.5589345,122880,-844034.875
1715594944.4068036,124928,-834135.4375
1715594950.111718,126976,-823235.3125
1715594955.815912,129024,-813620.375
1715594973.6049156,131072,-804005.1875
1715594979.324932,133120,-795725.5
1715594984.9516544,135168,-799672.5625
1715594990.7052293,137216,-805226.0
1715594996.4102886,139264,-802391.3125
1715595014.1509929,141312,-805601.5
1715595019.8716488,143360,-808478.625
1715595025.6083343,145408,-803893.5
1715595031.391473,147456,-803503.375
1715595037.0484824,149504,-798119.8125
1715595054.2396786,151552,-792178.875
1715595059.9444408,153600,-787976.1875
1715595065.76054,155648,-782986.5
1715595071.606968,157696,-776419.1875
1715595077.3897874,159744,-770291.8125
1715595094.6926901,161792,-761316.25
1715595100.3662746,163840,-752445.4375
1715595106.0497513,165888,-743812.9375
1715595111.7149775,167936,-737054.5
1715595117.4840722,169984,-729943.5
1715595134.7721212,172032,-735162.5
1715595140.6493294,174080,-729124.3125
1715595146.4955544,176128,-726075.5
1715595152.2012594,178176,-722459.1875
1715595169.7519026,180224,-719403.4375
1715595175.5345314,182272,-713957.125
1715595181.2249877,184320,-708430.875
1715595186.9619317,186368,-702411.0625
1715595192.7295918,188416,-696501.375
1715595210.5625927,190464,-690029.8125
1715595216.2361774,192512,-683011.875
1715595221.9437218,194560,-675956.875
1715595227.757276,196608,-668953.875
1715595233.4462957,198656,-663834.8125
1715595250.656111,200704,-657524.9375
