Wall time,Step,Value
1715547550.3467677,8004,-201.17466735839844
1715547600.7662454,10000,-337.3127136230469
1715547734.5091305,18004,-934.3653564453125
1715547780.4439456,20000,-612.9075927734375
1715547903.6955557,28004,-1210.0841064453125
1715547947.675416,30000,-1262.323974609375
1715548070.2273016,38004,-1443.7222900390625
1715548113.999232,40000,-1406.33740234375
1715548233.7611759,48004,-1483.146240234375
1715548277.7791977,50000,-1548.780029296875
1715548396.8043485,58004,-1501.9796142578125
1715548440.1942685,60000,-1538.461181640625
1715548560.1819763,68004,-1626.081787109375
1715548603.936041,70000,-1557.3140869140625
1715548723.105835,78004,-1720.2777099609375
1715548767.9247289,80000,-1671.7225341796875
1715548886.4847012,88004,-1648.564453125
1715548931.203922,90000,-1700.0302734375
1715549049.9990692,98004,-1559.203125
1715549093.4185019,100000,-1630.876953125
1715549210.4925437,108004,-1714.7972412109375
1715549253.8125758,110000,-1742.0391845703125
1715549371.7903817,118004,-1625.08056640625
1715549415.8294022,120000,-1729.160400390625
1715549536.78281,128004,-1713.57373046875
1715549581.9334908,130000,-1740.3057861328125
1715549699.623771,138004,-1733.839599609375
1715549743.3047004,140000,-1661.866455078125
1715549862.2871504,148004,-1657.267578125
1715549906.1212554,150000,-1696.82470703125
1715550024.3234963,158004,-1720.78515625
1715550067.769602,160000,-1648.590576171875
1715550185.1705973,168004,-1704.9381103515625
1715550228.4287965,170000,-1605.0562744140625
1715550346.7875156,178004,-1713.58837890625
1715550390.5988626,180000,-1646.1767578125
1715550508.6712072,188004,-1701.9942626953125
1715550551.6789253,190000,-1571.294677734375
1715550669.2668262,198004,-1606.7470703125
1715550712.7456262,200000,-1634.58740234375
