Wall time,Step,Value
1716636899.2760332,652,82.66322326660156
1716636905.4128878,1240,692.2672729492188
1716636910.3256083,1828,1197.50341796875
1716636915.2804859,2416,1919.287109375
1716636920.4251738,3004,2660.81103515625
1716636925.7569199,3592,3369.449462890625
1716636930.7647505,4181,4009.290283203125
1716636935.8284562,4769,4581.93212890625
1716636939.1780405,5000,4837.33349609375
1716636942.9369042,5442,5197.72314453125
1716636949.229694,6031,5730.74267578125
1716636955.0157404,6620,6202.10791015625
1716636960.1518533,7208,6627.1982421875
1716636966.0202599,7797,7052.67529296875
1716636971.719963,8385,7472.64599609375
1716636977.3073013,8973,7867.3056640625
1716636982.8067439,9561,8283.9755859375
1716636987.8052382,10000,8573.1015625
1716636990.6033134,10295,8722.7294921875
1716636996.07759,10883,9124.1513671875
1716637001.5683992,11472,9471.9658203125
1716637007.3441947,12060,9828.5888671875
1716637012.7842774,12648,10184.021484375
1716637018.2841313,13238,10531.3251953125
1716637023.7854524,13826,10875.7470703125
1716637029.919675,14415,11193.666015625
1716637036.7127564,15000,11541.5830078125
1716637043.6509948,15735,12007.736328125
1716637049.3628714,16323,12389.0009765625
1716637055.564275,16911,12736.3828125
1716637062.214185,17499,13066.8564453125
1716637067.8889825,18087,13405.8271484375
1716637073.1138813,18675,13688.0517578125
1716637078.4575198,19263,13984.046875
1716637083.521902,19854,14252.615234375
1716637085.6373456,20000,14315.3232421875
1716637091.0666332,20588,14559.275390625
1716637096.2799547,21176,14762.640625
1716637101.480373,21765,14973.65234375
1716637106.7218876,22354,15209.33203125
1716637111.9433541,22944,15390.27734375
1716637117.2861848,23533,15580.841796875
1716637122.147902,24123,15735.9833984375
1716637127.0120437,24712,15919.0634765625
1716637130.230895,25000,16020.0068359375
1716637134.5047846,25443,16213.822265625
1716637139.8793035,26032,16374.5849609375
1716637144.8657784,26620,16559.69921875
1716637149.8148243,27208,16733.1640625
1716637154.7547433,27798,16866.82421875
1716637159.6322777,28387,17033.56640625
1716637164.5601277,28975,17144.796875
1716637169.5222974,29564,17307.013671875
1716637173.8570719,30000,17381.83203125
1716637176.3820255,30295,17403.166015625
1716637181.3951893,30883,17508.609375
1716637186.2661812,31471,17577.76171875
1716637191.3992598,32059,17674.326171875
1716637197.1148477,32648,17777.81640625
1716637202.2700422,33237,17843.16015625
1716637207.2961628,33826,17921.744140625
1716637212.3205948,34415,18049.734375
1716637218.0077095,35000,18117.421875
1716637224.3713846,35737,18269.39453125
1716637229.2466567,36325,18325.033203125
1716637234.3299983,36913,18430.6953125
1716637239.1845787,37502,18455.552734375
1716637244.8105586,38091,18527.7109375
1716637250.5964093,38679,18570.841796875
1716637256.0035477,39267,18668.884765625
1716637261.6690214,39855,18758.359375
1716637263.7429154,40000,18726.646484375
1716637269.222042,40589,18833.865234375
1716637274.2802994,41178,18849.525390625
1716637279.0789812,41766,18951.15625
1716637283.888424,42354,19000.84765625
1716637288.7973325,42942,19075.705078125
1716637293.7753413,43530,19125.2578125
1716637298.8577166,44119,19178.953125
1716637303.8143673,44708,19214.943359375
1716637306.9947233,45000,19253.21484375
1716637310.7321002,45441,19266.875
1716637315.5751128,46029,19305.087890625
1716637320.3853352,46617,19324.125
1716637325.193128,47205,19321.63671875
1716637329.9775388,47794,19421.76171875
1716637334.944594,48383,19447.501953125
1716637339.7989101,48971,19483.00390625
1716637344.5607636,49561,19507.59375
1716637348.9162507,50000,19492.138671875
1716637351.3558514,50294,19508.220703125
1716637356.3301325,50882,19519.318359375
1716637361.2459757,51470,19477.185546875
1716637366.1974318,52060,19480.30078125
1716637371.0004284,52649,19492.4765625
1716637375.8086345,53239,19466.732421875
1716637380.5897923,53827,19478.47265625
1716637385.3936117,54416,19479.900390625
1716637390.9602997,55000,19507.53515625
1716637397.0889764,55735,19519.02734375
1716637401.887551,56324,19489.94140625
1716637406.7348511,56913,19485.17578125
1716637411.604458,57501,19500.30078125
1716637416.7295501,58089,19515.826171875
1716637421.6628277,58677,19539.439453125
1716637426.5119958,59265,19540.689453125
1716637431.3618803,59855,19581.798828125
1716637433.3169956,60000,19593.76171875
1716637438.3105283,60590,19623.88671875
1716637443.116395,61178,19610.1875
1716637447.9654067,61766,19630.306640625
1716637452.8012795,62355,19619.375
1716637457.5839279,62943,19621.49609375
1716637462.3421552,63531,19601.228515625
1716637467.21391,64119,19647.400390625
1716637472.9225807,64708,19638.46484375
1716637476.5439746,65000,19639.810546875
1716637480.501152,65441,19641.951171875
1716637485.430945,66030,19682.87890625
1716637490.341058,66619,19657.326171875
1716637495.2154374,67207,19668.990234375
1716637500.1428125,67796,19668.015625
1716637505.0037582,68385,19685.072265625
1716637509.810213,68973,19692.021484375
1716637514.6199849,69561,19703.673828125
1716637518.9242806,70000,19713.38671875
1716637521.3998196,70295,19688.05078125
1716637526.3240385,70883,19643.998046875
1716637531.083047,71471,19625.6640625
1716637535.9775336,72059,19642.388671875
1716637540.8116672,72647,19665.56640625
1716637545.6235018,73236,19639.615234375
1716637550.4677181,73825,19620.75390625
1716637555.3772552,74413,19625.33203125
1716637561.0498908,75000,19665.27734375
1716637567.42797,75737,19653.2578125
1716637572.2463994,76325,19730.580078125
1716637577.0040796,76914,19744.224609375
1716637581.8302126,77502,19725.546875
1716637586.6596508,78091,19759.599609375
1716637591.691809,78679,19785.814453125
1716637597.3020332,79270,19751.724609375
1716637602.857096,79858,19734.6015625
1716637605.4581015,80000,19766.33203125
1716637611.0838203,80588,19741.798828125
1716637615.9530919,81178,19759.58984375
1716637620.8411434,81767,19710.978515625
1716637625.8887918,82355,19754.138671875
1716637631.0860941,82943,19770.76953125
1716637636.8380089,83531,19748.98828125
1716637643.3342886,84120,19721.7890625
1716637649.290499,84709,19740.673828125
1716637652.5943322,85000,19708.615234375
1716637656.5424078,85441,19718.791015625
1716637661.66734,86029,19668.78125
1716637666.7463439,86618,19657.640625
1716637672.2220273,87206,19678.96484375
1716637677.161633,87794,19678.015625
1716637682.1087584,88385,19682.8125
1716637687.0379822,88974,19712.751953125
1716637691.9487169,89562,19727.513671875
1716637696.3334901,90000,19726.646484375
1716637698.8633158,90295,19761.330078125
1716637703.8028817,90884,19790.294921875
1716637708.5851748,91473,19818.015625
1716637713.6243095,92062,19771.54296875
1716637719.0849698,92652,19743.875
1716637724.7663836,93240,19746.3515625
1716637730.1217163,93828,19809.0703125
1716637735.647941,94416,19790.69921875
1716637741.4381757,95000,19800.33984375
1716637747.9850986,95735,19763.9921875
1716637754.084436,96325,19794.591796875
1716637760.1137981,96913,19806.55859375
1716637767.2358992,97501,19777.181640625
1716637774.3116698,98090,19769.724609375
1716637781.0279813,98678,19747.759765625
1716637787.2500145,99266,19778.04296875
1716637793.8306103,99855,19784.833984375
1716637796.7134387,100000,19777.51953125
1716637804.4373138,100588,19746.09375
1716637810.0885444,101176,19775.19140625
1716637815.4814687,101765,19786.9375
