Wall time,Step,Value
1716511354.0654793,10000,-344735.03125
1716511370.9358582,20000,-272077.25
1716511388.9060848,30000,-245651.671875
1716511407.057021,40000,-442134.125
1716511424.7164776,50000,-409711.4375
1716511443.2554247,60000,-373980.96875
1716511459.9534023,70000,-314520.6875
1716511478.2425609,80000,-185660.53125
1716511497.0061517,90000,-193675.390625
1716511516.6588507,100000,-219805.640625
1716511536.0925574,110000,-191977.703125
1716511555.301385,120000,-169934.015625
1716511574.4753213,130000,-158200.34375
1716511593.9998014,140000,-163145.078125
1716511613.696339,150000,-153921.234375
1716511633.0365906,160000,-160528.078125
1716511652.4323413,170000,-166252.421875
1716511671.7965424,180000,-162623.03125
1716511691.26321,190000,-164909.609375
1716511710.4069207,200000,-157816.546875
