Wall time,Step,Value
1715594465.0998075,4096,-1.4142062664031982
1715594470.7879395,6144,-1.4138240814208984
1715594476.6808023,8192,-1.3969004154205322
1715594493.4643173,10000,-1.3770248889923096
1715594499.8402822,12288,-1.3628495931625366
1715594505.513964,14336,-1.368998408317566
1715594511.2508376,16384,-1.4112555980682373
1715594517.0646966,18432,-1.3807069063186646
1715594533.0815349,20000,-1.4353961944580078
1715594539.7548234,22528,-1.3282136917114258
1715594545.5991702,24576,-1.328582763671875
1715594551.1784663,26624,-1.3246591091156006
1715594556.8502707,28672,-1.327349066734314
1715594572.9149034,30000,-1.3505723476409912
1715594580.0402014,32768,-1.3837547302246094
1715594585.7460256,34816,-1.3850023746490479
1715594591.3734534,36864,-1.3850979804992676
1715594597.0307686,38912,-1.3851416110992432
1715594612.4709892,40000,-1.3852410316467285
1715594620.0029588,43008,-1.3853821754455566
1715594625.7383585,45056,-1.385451316833496
1715594631.4303648,47104,-1.3854773044586182
1715594637.0878623,49152,-1.3854501247406006
1715594651.9237523,50000,-1.3855472803115845
1715594660.0516994,53248,-1.3859082460403442
1715594666.2722752,55296,-1.3861106634140015
1715594672.2276416,57344,-1.3861901760101318
1715594678.0879197,59392,-1.3863168954849243
1715594692.5937798,60000,-1.3860313892364502
1715594701.3782115,63488,-1.385954737663269
1715594707.0323205,65536,-1.386203646659851
1715594712.7278588,67584,-1.386215329170227
1715594718.370824,69632,-1.384885311126709
1715594732.2968788,70000,-1.3836487531661987
1715594741.5788078,73728,-1.3830031156539917
1715594747.4881608,75776,-1.3822352886199951
1715594753.6326466,77824,-1.38186514377594
1715594759.3374908,79872,-1.3810290098190308
1715594772.968414,80000,-1.3807610273361206
1715594782.364444,83968,-1.381118893623352
1715594788.099762,86016,-1.3790282011032104
1715594793.7745538,88064,-1.3805456161499023
1715594811.3737056,90000,-1.38321053981781
1715594817.437305,92160,-1.3828781843185425
1715594823.1126025,94208,-1.3802847862243652
1715594828.8645964,96256,-1.3764227628707886
1715594834.5390608,98304,-1.3610478639602661
1715594851.0785124,100000,-1.3596739768981934
1715594857.4862375,102400,-1.3742029666900635
1715594863.4727824,104448,-1.3740381002426147
1715594869.3971593,106496,-1.386764407157898
1715594875.2575886,108544,-1.4020990133285522
1715594891.359574,110000,-1.3982937335968018
1715594898.423573,112640,-1.3931978940963745
1715594904.1270924,114688,-1.3974940776824951
1715594909.8319385,116736,-1.393459439277649
1715594915.4739573,118784,-1.3776699304580688
1715594931.0567603,120000,-1.3695664405822754
1715594938.5589345,122880,-1.3650197982788086
1715594944.4068036,124928,-1.3592548370361328
1715594950.111718,126976,-1.34713876247406
1715594955.815912,129024,-1.3544920682907104
1715594971.4795043,130000,-1.3727033138275146
1715594979.324932,133120,-1.3732566833496094
1715594984.9516544,135168,-1.3656758069992065
1715594990.7052293,137216,-1.376518964767456
1715594996.4102886,139264,-1.3929871320724487
1715595011.556032,140000,-1.3849376440048218
1715595019.8716488,143360,-1.3745622634887695
1715595025.6083343,145408,-1.3608843088150024
1715595031.391473,147456,-1.349915862083435
1715595037.0484824,149504,-1.3494648933410645
1715595051.223656,150000,-1.346048355102539
1715595059.9444408,153600,-1.3403171300888062
1715595065.76054,155648,-1.3350127935409546
1715595071.606968,157696,-1.3234522342681885
1715595077.3897874,159744,-1.3089278936386108
1715595091.1447487,160000,-1.3057734966278076
1715595100.3662746,163840,-1.302552342414856
1715595106.0497513,165888,-1.3047195672988892
1715595111.7149775,167936,-1.3161033391952515
1715595117.4840722,169984,-1.300619125366211
1715595130.754783,170000,-1.3048094511032104
1715595140.6493294,174080,-1.3055708408355713
1715595146.4955544,176128,-1.3071528673171997
1715595152.2012594,178176,-1.309221863746643
1715595169.2831633,180000,-1.3142521381378174
1715595175.5345314,182272,-1.3084673881530762
1715595181.2249877,184320,-1.3048301935195923
1715595186.9619317,186368,-1.3018299341201782
1715595192.7295918,188416,-1.2910431623458862
1715595209.6247096,190000,-1.2833800315856934
1715595216.2361774,192512,-1.2787545919418335
1715595221.9437218,194560,-1.2770061492919922
1715595227.757276,196608,-1.2706475257873535
1715595233.4462957,198656,-1.266761302947998
1715595249.2342265,200000,-1.2679651975631714
