Wall time,Step,Value
1715547550.3467677,8004,8448.42578125
1715547734.5091305,18004,20930.8984375
1715547903.6955557,28004,22695.48046875
1715548070.2273016,38004,24495.5234375
1715548233.7611759,48004,25577.4921875
1715548396.8043485,58004,26287.37109375
1715548560.1819763,68004,26821.291015625
1715548723.105835,78004,27408.419921875
1715548886.4847012,88004,28204.66015625
1715549049.9990692,98004,28732.572265625
1715549210.4925437,108004,29035.853515625
1715549371.7903817,118004,29345.353515625
1715549536.78281,128004,29798.751953125
1715549699.623771,138004,30060.11328125
1715549862.2871504,148004,30215.58203125
1715550024.3234963,158004,30382.380859375
1715550185.1705973,168004,30490.8515625
1715550346.7875156,178004,30448.55078125
1715550508.6712072,188004,30507.36328125
1715550669.2569063,198004,30560.16015625
